"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2020/07/01","00:00","2.776","1.22","1.07","0.886","0.814","0.558","0.541","-0.171","0"
"2020/08/01","00:00","1.847","1.289","1.194","0.932","0.945","0.696","0.574","-0.394","0"
"2020/09/01","00:00","2.792","1.171","1.037","0.771","0.766","0.495","0.374","-0.61","0"
"2020/10/01","00:00","2.297","0.945","0.791","0.522","0.504","0.217","0.039","-0.787","0"
"2020/11/01","00:00","2.73","1.634","1.47","1.188","1.202","0.935","0.719","-0.341","0"
"2020/12/01","00:00","2.674","0.942","0.807","0.584","0.586","0.364","0.259","-0.971","0"
"2021/01/01","00:00","1.293","0.663","0.604","0.335","0.364","0.125","0.049","-0.784","0"
"2021/02/01","00:00","1.585","0.44","0.338","0.089","0.059","-0.22","-0.371","-2.234","0"
"2021/03/01","00:00","1.322","0.755","0.6","0.266","0.259","-0.082","-0.243","-1.316","0"
"2021/04/01","00:00","0.919","0.459","0.328","0.043","0.026","-0.276","-0.427","-3.058","0"
"2021/05/01","00:00","1.053","0.492","0.351","0.007","-0.054","-0.459","-0.715","-4.026","0"
"2021/06/01","00:00","2.146","1.437","1.306","1.06","1.053","0.801","0.696","-2.096","0"
"2021/07/01","00:00","2.608","1.703","1.588","1.322","1.335","1.083","0.948","0.253","0"
"2021/08/01","00:00","3.241","2.116","1.955","1.677","1.673","1.391","1.302","0.187","0"
"2021/09/01","00:00","2.434","1.657","1.558","1.27","1.283","1.007","0.856","0.085","0"
"2021/10/01","00:00","2.057","1.181","1.053","0.807","0.799","0.545","0.417","-0.207","0"
"2021/11/01","00:00","2.07","0.833","0.646","0.479","0.399","0.151","0.013","-1.424","0"
"2021/12/01","00:00","2.887","1.175","0.968","0.751","0.722","0.476","0.361","-1.115","0"
"2022/01/01","00:00","1.391","0.574","0.44","0.226","0.203","-0.033","-0.098","-1.634","0"
"2022/02/01","00:00","1.066","0.499","0.417","0.112","0.131","-0.154","-0.279","-1.736","0"
"2022/03/01","00:00","1.26","0.554","0.486","0.226","0.231","-0.023","-0.112","-1.302","0"
"2022/04/01","00:00","0.994","0.41","0.292","0.01","-0.008","-0.308","-0.42","-1.949","0"
"2022/05/01","00:00","1.673","0.899","0.748","0.515","0.504","0.259","0.141","-0.86","0"
"2022/06/01","00:00","1.936","1.348","1.201","0.922","0.902","0.604","0.469","-2.228","0"
"2022/07/01","00:00","2.526","1.759","1.611","1.335","1.348","1.086","0.932","-0.266","0"
"2022/08/01","00:00","2.671","1.696","1.467","1.171","1.186","0.906","0.823","-0.561","0"
"2022/09/01","00:00","1.926","0.968","0.823","0.604","0.53","0.236","0.112","-0.958","0"
"2022/10/01","00:00","3.104","1.201","1.073","0.751","0.778","0.482","0.318","-1.129","0"
